 #  energy  real  imag
  0.000000000000000E+000   2.711818      0.0000000E+00
  1.333333333333333E-003   2.712334      0.0000000E+00
  2.666666666666667E-003   2.712851      0.0000000E+00
  4.000000000000000E-003   2.713368      0.0000000E+00
  5.333333333333333E-003   2.713885      0.0000000E+00
  6.666666666666667E-003   2.714403      0.0000000E+00
  8.000000000000000E-003   2.714921      0.0000000E+00
  9.333333333333334E-003   2.715440      0.0000000E+00
  1.066666666666667E-002   2.715958      0.0000000E+00
  1.200000000000000E-002   2.716477      0.0000000E+00
  1.333333333333333E-002   2.716997      0.0000000E+00
  1.466666666666667E-002   2.717517      0.0000000E+00
  1.600000000000000E-002   2.718037      0.0000000E+00
  1.733333333333333E-002   2.718558      0.0000000E+00
  1.866666666666667E-002   2.719079      0.0000000E+00
  2.000000000000000E-002   2.719600      0.0000000E+00
  2.133333333333333E-002   2.720122      0.0000000E+00
  2.266666666666667E-002   2.720644      0.0000000E+00
  2.400000000000000E-002   2.721167      0.0000000E+00
  2.533333333333333E-002   2.721690      0.0000000E+00
  2.666666666666667E-002   2.722213      0.0000000E+00
  2.800000000000000E-002   2.722737      0.0000000E+00
  2.933333333333333E-002   2.723261      0.0000000E+00
  3.066666666666666E-002   2.723785      0.0000000E+00
  3.200000000000000E-002   2.724310      0.0000000E+00
  3.333333333333333E-002   2.724836      0.0000000E+00
  3.466666666666667E-002   2.725361      0.0000000E+00
  3.600000000000000E-002   2.725887      0.0000000E+00
  3.733333333333334E-002   2.726413      0.0000000E+00
  3.866666666666667E-002   2.726940      0.0000000E+00
  4.000000000000000E-002   2.727468      0.0000000E+00
  4.133333333333333E-002   2.727995      0.0000000E+00
  4.266666666666667E-002   2.728523      0.0000000E+00
  4.400000000000000E-002   2.729051      0.0000000E+00
  4.533333333333334E-002   2.729580      0.0000000E+00
  4.666666666666667E-002   2.730109      0.0000000E+00
  4.800000000000000E-002   2.730639      0.0000000E+00
  4.933333333333333E-002   2.731168      0.0000000E+00
  5.066666666666667E-002   2.731699      0.0000000E+00
  5.200000000000000E-002   2.732229      0.0000000E+00
  5.333333333333334E-002   2.732760      0.0000000E+00
  5.466666666666667E-002   2.733292      0.0000000E+00
  5.600000000000000E-002   2.733823      0.0000000E+00
  5.733333333333333E-002   2.734355      0.0000000E+00
  5.866666666666667E-002   2.734888      0.0000000E+00
  6.000000000000000E-002   2.735421      0.0000000E+00
  6.133333333333333E-002   2.735955      0.0000000E+00
  6.266666666666666E-002   2.736488      0.0000000E+00
  6.400000000000000E-002   2.737022      0.0000000E+00
  6.533333333333333E-002   2.737557      0.0000000E+00
  6.666666666666667E-002   2.738092      0.0000000E+00
  6.800000000000000E-002   2.738627      0.0000000E+00
  6.933333333333333E-002   2.739163      0.0000000E+00
  7.066666666666667E-002   2.739699      0.0000000E+00
  7.199999999999999E-002   2.740236      0.0000000E+00
  7.333333333333333E-002   2.740772      0.0000000E+00
  7.466666666666667E-002   2.741310      0.0000000E+00
  7.600000000000000E-002   2.741848      0.0000000E+00
  7.733333333333334E-002   2.742386      0.0000000E+00
  7.866666666666666E-002   2.742924      0.0000000E+00
  8.000000000000000E-002   2.743463      0.0000000E+00
  8.133333333333333E-002   2.744002      0.0000000E+00
  8.266666666666667E-002   2.744542      0.0000000E+00
  8.400000000000001E-002   2.745082      0.0000000E+00
  8.533333333333333E-002   2.745623      0.0000000E+00
  8.666666666666667E-002   2.746164      0.0000000E+00
  8.799999999999999E-002   2.746705      0.0000000E+00
  8.933333333333333E-002   2.747247      0.0000000E+00
  9.066666666666667E-002   2.747789      0.0000000E+00
  9.200000000000000E-002   2.748332      0.0000000E+00
  9.333333333333334E-002   2.748874      0.0000000E+00
  9.466666666666666E-002   2.749418      0.0000000E+00
  9.600000000000000E-002   2.749962      0.0000000E+00
  9.733333333333333E-002   2.750506      0.0000000E+00
  9.866666666666667E-002   2.751050      0.0000000E+00
  0.100000000000000        2.751595      0.0000000E+00
  0.101333333333333        2.752141      0.0000000E+00
  0.102666666666667        2.752687      0.0000000E+00
  0.104000000000000        2.753233      0.0000000E+00
  0.105333333333333        2.753779      0.0000000E+00
  0.106666666666667        2.754327      0.0000000E+00
  0.108000000000000        2.754874      0.0000000E+00
  0.109333333333333        2.755422      0.0000000E+00
  0.110666666666667        2.755970      0.0000000E+00
  0.112000000000000        2.756519      0.0000000E+00
  0.113333333333333        2.757068      0.0000000E+00
